MemberName,CharacterName,Class,Level,Race,Main/Alt,Rank,AvailableDKP,EarnedDKP,SpentDKP,ApplicationDate,MembershipDate
Fivez,Sarazy,Beastlord,53,Iksar,alternate,member,14,291,284,2025-01-12 14:39:16,2025-02-10 23:51:29
Fivez,Onceover,Shaman,60,Ogre,main,member,14,291,284,2025-01-12 14:39:16,2025-02-10 23:51:29
Fivez,Verynice,Rogue,10,Vah Shir,alternate,member,14,291,284,2025-01-12 14:39:16,2025-02-10 23:51:29
Fivez,Fivesk,Druid,60,Wood Elf,alternate,member,14,291,284,2025-01-12 14:39:16,2025-02-10 23:51:29
Fivez,Ricorush,Paladin,60,High Elf,alternate,member,14,291,284,2025-01-12 14:39:16,2025-02-10 23:51:29
Fivez,Fivez,Monk,60,Dark Elf,main,member,14,291,284,2025-01-12 14:39:16,2025-02-10 23:51:29
Fivez,Exolus,Enchanter,60,Erudite,alternate,member,14,291,284,2025-01-12 14:39:16,2025-02-10 23:51:29
Flikin,Flikin,Ranger,45,Wood Elf,main,member,0,0,0,2025-12-08 10:21:13,2026-01-08 08:41:54
Floppin,Floppin,Monk,60,Iksar,main,member,14,108,94,2026-01-09 20:23:10,2026-02-01 04:01:05
Freon,Freon,Paladin,57,Dwarf,main,inactive,78,177,100,2025-03-16 17:17:42,
Frodolas,Nazguul,Necromancer,20,Iksar,alternate,member,34,687,678,2025-01-03 20:19:43,2025-01-20 21:16:20
Frodolas,Frodolas,Ranger,60,Halfling,main,member,34,687,678,2025-01-03 20:19:43,2025-01-20 21:16:20
Frodolas,Gorjilla,Beastlord,18,Iksar,alternate,member,34,687,678,2025-01-03 20:19:43,2025-01-20 21:16:20
Frodolas,Ahliu,Cleric,60,Gnome,main,member,34,687,678,2025-01-03 20:19:43,2025-01-20 21:16:20
Frodolas,Darkknyght,Shadow Knight,51,Gnome,alternate,member,34,687,678,2025-01-03 20:19:43,2025-01-20 21:16:20
Furted,Furted,Warrior,60,Dwarf,main,inactive,203,574,372,2024-12-30 04:48:02,
Furted,Funnas,Druid,47,Halfling,alternate,inactive,203,574,372,2024-12-30 04:48:02,
Gaarden,Moneyshotte,Ranger,60,Wood Elf,main,member,234,303,69,2025-12-07 17:37:10,2025-12-31 18:14:09
Gaarden,Saxomaphone,Bard,44,Wood Elf,alternate,member,234,303,69,2025-12-07 17:37:10,2025-12-31 18:14:09
Gaarden,Gaarden,Magician,60,Gnome,main,member,234,303,69,2025-12-07 17:37:10,2025-12-31 18:14:09
Gagmek,Cadric,Rogue,60,Halfling,main,member,10,275,265,2026-01-01 17:09:34,2026-01-05 21:32:01
Gagmek,Jaspyr,Ranger,60,Dark Elf,main,member,10,275,265,2026-01-01 17:09:34,2026-01-05 21:32:01
Gagmek,Gagmek,Shaman,55,Troll,alternate,member,10,275,265,2026-01-01 17:09:34,2026-01-05 21:32:01
Gagmek,Zhentil,Magician,60,Gnome,alternate,member,10,275,265,2026-01-01 17:09:34,2026-01-05 21:32:01
Galt,Fyst,Monk,17,Iksar,alternate,member,134,149,15,2024-10-25 23:31:50,2024-10-28 21:19:51
Galt,Gelth,Wizard,29,Human,alternate,member,134,149,15,2024-10-25 23:31:50,2024-10-28 21:19:51
Galt,Talor,Magician,38,Gnome,alternate,member,134,149,15,2024-10-25 23:31:50,2024-10-28 21:19:51
Galt,Galt,Paladin,60,Human,main,member,134,149,15,2024-10-25 23:31:50,2024-10-28 21:19:51
Galt,Gelt,Enchanter,60,Dark Elf,alternate,member,134,149,15,2024-10-25 23:31:50,2024-10-28 21:19:51
Galt,Tume,Shaman,51,Iksar,alternate,member,134,149,15,2024-10-25 23:31:50,2024-10-28 21:19:51
Galt,Derfy,Cleric,31,Dwarf,alternate,member,134,149,15,2024-10-25 23:31:50,2024-10-28 21:19:51
Galt,Galty,Beastlord,49,Iksar,alternate,member,134,149,15,2024-10-25 23:31:50,2024-10-28 21:19:51
Galt,Renenn,Necromancer,60,Iksar,alternate,member,134,149,15,2024-10-25 23:31:50,2024-10-28 21:19:51
Galt,Treefiddy,Druid,54,Wood Elf,alternate,member,134,149,15,2024-10-25 23:31:50,2024-10-28 21:19:51
Gators,Gators,Magician,60,Gnome,main,member,24,75,51,2026-01-28 00:49:44,2026-02-16 02:38:21
Geenome,Geenome,Magician,60,Gnome,main,member,44,27,6,2026-03-09 20:38:13,2026-04-05 05:03:40
Geenome,Rooty,Druid,43,Wood Elf,alternate,member,44,27,6,2026-03-09 20:38:13,2026-04-05 05:03:40
Genlain,Luminaire,Wizard,16,Erudite,alternate,member,58,257,199,2026-03-10 17:32:13,2026-03-24 20:38:00
Genlain,Genlain,Cleric,60,Human,main,member,58,257,199,2026-03-10 17:32:13,2026-03-24 20:38:00
Gerien,Gerien,Druid,60,Wood Elf,main,member,32,33,1,2026-01-11 01:05:44,2026-02-01 04:01:35
Gnokia,Ouya,Beastlord,60,Troll,alternate,member,101,429,374,2024-10-25 23:50:33,
Gnokia,Gnokia,Warrior,60,Gnome,main,member,101,429,374,2024-10-25 23:50:33,
Gnokia,Gnofat,Rogue,60,Gnome,main,member,101,429,374,2024-10-25 23:50:33,
Gnomocidal,Jhena,Ranger,60,Half-Elf,main,member,113,132,83,2026-06-11 16:37:12,2026-07-02 17:00:34
Gnomocidal,Razel,Enchanter,60,High Elf,alternate,member,113,132,83,2026-06-11 16:37:12,2026-07-02 17:00:34
Gnomocidal,Foolsgold,Cleric,60,High Elf,alternate,member,113,132,83,2026-06-11 16:37:12,2026-07-02 17:00:34
Gnomocidal,Gnomocidal,Warrior,60,Ogre,main,member,113,132,83,2026-06-11 16:37:12,2026-07-02 17:00:34
